Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,061055,1874,01,25.2,Y
IDCJAC0002,061055,1874,02,26.2,Y
IDCJAC0002,061055,1874,03,25.7,Y
IDCJAC0002,061055,1874,04,23.5,Y
IDCJAC0002,061055,1874,05,19.7,Y
IDCJAC0002,061055,1874,06,16.0,Y
IDCJAC0002,061055,1874,07,17.2,Y
IDCJAC0002,061055,1874,08,16.3,Y
IDCJAC0002,061055,1874,09,19.2,Y
IDCJAC0002,061055,1874,10,22.9,Y
IDCJAC0002,061055,1874,11,23.9,Y
IDCJAC0002,061055,1874,12,23.4,Y
IDCJAC0002,061055,1875,01,26.7,Y
IDCJAC0002,061055,1875,02,25.7,Y
IDCJAC0002,061055,1875,03,24.7,Y
IDCJAC0002,061055,1875,04,23.0,Y
IDCJAC0002,061055,1875,05,18.9,Y
IDCJAC0002,061055,1875,06,17.3,Y
IDCJAC0002,061055,1875,07,16.0,Y
IDCJAC0002,061055,1875,08,19.7,Y
IDCJAC0002,061055,1875,09,19.8,Y
IDCJAC0002,061055,1875,10,22.9,Y
IDCJAC0002,061055,1875,11,24.9,Y
IDCJAC0002,061055,1875,12,26.8,Y
IDCJAC0002,061055,1876,01,28.1,Y
IDCJAC0002,061055,1876,02,26.0,Y
IDCJAC0002,061055,1876,03,26.3,Y
IDCJAC0002,061055,1876,04,24.1,Y
IDCJAC0002,061055,1876,05,20.1,Y
IDCJAC0002,061055,1876,06,19.1,Y
IDCJAC0002,061055,1876,07,15.7,Y
IDCJAC0002,061055,1876,08,16.8,Y
IDCJAC0002,061055,1876,09,22.3,Y
IDCJAC0002,061055,1876,10,22.4,Y
IDCJAC0002,061055,1876,11,26.2,Y
IDCJAC0002,061055,1876,12,28.5,Y
IDCJAC0002,061055,1877,01,28.3,Y
IDCJAC0002,061055,1877,02,28.1,Y
IDCJAC0002,061055,1877,03,27.2,Y
IDCJAC0002,061055,1877,04,25.1,Y
IDCJAC0002,061055,1877,05,22.1,Y
IDCJAC0002,061055,1877,06,20.3,Y
IDCJAC0002,061055,1877,07,20.7,Y
IDCJAC0002,061055,1877,08,22.2,Y
IDCJAC0002,061055,1877,09,23.7,Y
IDCJAC0002,061055,1877,10,25.7,Y
IDCJAC0002,061055,1877,11,28.8,Y
IDCJAC0002,061055,1877,12,30.3,Y
IDCJAC0002,061055,1878,01,27.8,Y
IDCJAC0002,061055,1878,02,28.3,Y
IDCJAC0002,061055,1878,03,28.3,Y
IDCJAC0002,061055,1878,04,26.3,Y
IDCJAC0002,061055,1878,05,23.2,Y
IDCJAC0002,061055,1878,06,16.5,Y
IDCJAC0002,061055,1878,07,19.3,Y
IDCJAC0002,061055,1878,08,21.3,Y
IDCJAC0002,061055,1878,09,23.6,Y
IDCJAC0002,061055,1878,10,26.1,Y
IDCJAC0002,061055,1878,11,28.2,Y
IDCJAC0002,061055,1878,12,28.1,Y
IDCJAC0002,061055,1879,01,27.7,Y
IDCJAC0002,061055,1879,02,27.3,Y
IDCJAC0002,061055,1879,03,26.5,Y
IDCJAC0002,061055,1879,04,22.7,Y
IDCJAC0002,061055,1879,05,19.2,Y
IDCJAC0002,061055,1879,06,15.6,Y
IDCJAC0002,061055,1879,07,16.0,Y
IDCJAC0002,061055,1879,08,17.6,Y
IDCJAC0002,061055,1879,09,21.6,Y
IDCJAC0002,061055,1879,10,24.4,Y
IDCJAC0002,061055,1879,11,26.0,Y
IDCJAC0002,061055,1879,12,27.4,Y
IDCJAC0002,061055,1880,01,27.7,Y
IDCJAC0002,061055,1880,02,26.1,Y
IDCJAC0002,061055,1880,03,26.3,Y
IDCJAC0002,061055,1880,04,24.4,Y
IDCJAC0002,061055,1880,05,21.6,Y
IDCJAC0002,061055,1880,06,17.5,Y
IDCJAC0002,061055,1880,07,16.9,Y
IDCJAC0002,061055,1880,08,20.9,Y
IDCJAC0002,061055,1880,09,22.0,Y
IDCJAC0002,061055,1880,10,23.2,Y
IDCJAC0002,061055,1880,11,27.3,Y
IDCJAC0002,061055,1880,12,28.1,Y
IDCJAC0002,061055,1881,01,28.2,Y
IDCJAC0002,061055,1881,02,27.6,Y
IDCJAC0002,061055,1881,03,28.3,Y
IDCJAC0002,061055,1881,04,25.8,Y
IDCJAC0002,061055,1881,05,23.1,Y
IDCJAC0002,061055,1881,06,18.4,Y
IDCJAC0002,061055,1881,07,18.7,Y
IDCJAC0002,061055,1881,08,18.5,Y
IDCJAC0002,061055,1881,09,21.1,Y
IDCJAC0002,061055,1881,10,24.3,Y
IDCJAC0002,061055,1881,11,27.4,Y
IDCJAC0002,061055,1881,12,30.4,Y
IDCJAC0002,061055,1882,01,30.3,Y
IDCJAC0002,061055,1882,02,27.7,Y
IDCJAC0002,061055,1882,03,27.0,Y
IDCJAC0002,061055,1882,04,26.2,Y
IDCJAC0002,061055,1882,05,24.1,Y
IDCJAC0002,061055,1882,06,19.3,Y
IDCJAC0002,061055,1882,07,19.7,Y
IDCJAC0002,061055,1882,08,21.4,Y
IDCJAC0002,061055,1882,09,25.3,Y
IDCJAC0002,061055,1882,10,25.6,Y
IDCJAC0002,061055,1882,11,25.2,Y
IDCJAC0002,061055,1882,12,26.0,Y
IDCJAC0002,061055,1883,01,26.7,Y
IDCJAC0002,061055,1883,02,26.2,Y
IDCJAC0002,061055,1883,03,26.3,Y
IDCJAC0002,061055,1883,04,23.6,Y
IDCJAC0002,061055,1883,05,20.9,Y
IDCJAC0002,061055,1883,06,19.6,Y
IDCJAC0002,061055,1883,07,19.3,Y
IDCJAC0002,061055,1883,08,19.7,Y
IDCJAC0002,061055,1883,09,19.7,Y
IDCJAC0002,061055,1883,10,21.8,Y
IDCJAC0002,061055,1883,11,23.9,Y
IDCJAC0002,061055,1883,12,27.4,Y
IDCJAC0002,061055,1884,01,27.2,Y
IDCJAC0002,061055,1884,02,26.2,Y
IDCJAC0002,061055,1884,03,25.6,Y
IDCJAC0002,061055,1884,04,23.6,Y
IDCJAC0002,061055,1884,05,19.4,Y
IDCJAC0002,061055,1884,06,18.3,Y
IDCJAC0002,061055,1884,07,18.3,Y
IDCJAC0002,061055,1884,08,19.9,Y
IDCJAC0002,061055,1884,09,21.3,Y
IDCJAC0002,061055,1884,10,24.2,Y
IDCJAC0002,061055,1884,11,23.4,Y
IDCJAC0002,061055,1884,12,27.4,Y
IDCJAC0002,061055,1885,01,27.0,Y
IDCJAC0002,061055,1885,02,27.6,Y
IDCJAC0002,061055,1885,03,26.2,Y
IDCJAC0002,061055,1885,04,22.3,Y
IDCJAC0002,061055,1885,05,21.9,Y
IDCJAC0002,061055,1885,06,18.2,Y
IDCJAC0002,061055,1885,07,16.8,Y
IDCJAC0002,061055,1885,08,20.5,Y
IDCJAC0002,061055,1885,09,21.9,Y
IDCJAC0002,061055,1885,10,23.4,Y
IDCJAC0002,061055,1885,11,25.9,Y
IDCJAC0002,061055,1885,12,25.9,Y
IDCJAC0002,061055,1886,01,26.3,Y
IDCJAC0002,061055,1886,02,28.6,Y
IDCJAC0002,061055,1886,03,25.6,Y
IDCJAC0002,061055,1886,04,24.1,Y
IDCJAC0002,061055,1886,05,21.4,Y
IDCJAC0002,061055,1886,06,18.6,Y
IDCJAC0002,061055,1886,07,17.4,Y
IDCJAC0002,061055,1886,08,19.1,Y
IDCJAC0002,061055,1886,09,21.0,Y
IDCJAC0002,061055,1886,10,23.7,Y
IDCJAC0002,061055,1886,11,24.9,Y
IDCJAC0002,061055,1886,12,25.2,Y
IDCJAC0002,061055,1887,01,27.1,Y
IDCJAC0002,061055,1887,02,26.2,Y
IDCJAC0002,061055,1887,03,26.9,Y
IDCJAC0002,061055,1887,04,23.7,Y
IDCJAC0002,061055,1887,05,20.1,Y
IDCJAC0002,061055,1887,06,18.1,Y
IDCJAC0002,061055,1887,07,18.1,Y
IDCJAC0002,061055,1887,08,18.6,Y
IDCJAC0002,061055,1887,09,20.3,Y
IDCJAC0002,061055,1887,10,23.6,Y
IDCJAC0002,061055,1887,11,23.1,Y
IDCJAC0002,061055,1887,12,25.5,Y
IDCJAC0002,061055,1888,01,27.1,Y
IDCJAC0002,061055,1888,02,26.3,Y
IDCJAC0002,061055,1888,03,26.6,Y
IDCJAC0002,061055,1888,04,24.3,Y
IDCJAC0002,061055,1888,05,20.7,Y
IDCJAC0002,061055,1888,06,19.9,Y
IDCJAC0002,061055,1888,07,17.9,Y
IDCJAC0002,061055,1888,08,18.1,Y
IDCJAC0002,061055,1888,09,20.3,Y
IDCJAC0002,061055,1888,10,22.3,Y
IDCJAC0002,061055,1888,11,25.2,Y
IDCJAC0002,061055,1888,12,26.0,Y
IDCJAC0002,061055,1889,01,26.6,Y
IDCJAC0002,061055,1889,02,25.4,Y
IDCJAC0002,061055,1889,03,24.8,Y
IDCJAC0002,061055,1889,04,22.2,Y
IDCJAC0002,061055,1889,05,20.7,Y
IDCJAC0002,061055,1889,06,18.2,Y
IDCJAC0002,061055,1889,07,13.1,Y
IDCJAC0002,061055,1889,08,14.8,Y
IDCJAC0002,061055,1889,09,15.6,Y
IDCJAC0002,061055,1889,10,19.8,Y
IDCJAC0002,061055,1889,11,21.2,Y
IDCJAC0002,061055,1889,12,24.2,Y
IDCJAC0002,061055,1890,01,22.9,Y
IDCJAC0002,061055,1890,02,22.0,Y
IDCJAC0002,061055,1890,03,21.4,Y
IDCJAC0002,061055,1890,04,17.2,Y
IDCJAC0002,061055,1890,05,14.2,Y
IDCJAC0002,061055,1890,06,13.1,Y
IDCJAC0002,061055,1890,07,10.4,Y
IDCJAC0002,061055,1890,08,11.1,Y
IDCJAC0002,061055,1890,09,15.1,Y
IDCJAC0002,061055,1890,10,18.7,Y
IDCJAC0002,061055,1890,11,23.0,Y
IDCJAC0002,061055,1890,12,24.3,Y
IDCJAC0002,061055,1891,01,26.8,Y
IDCJAC0002,061055,1891,02,24.3,Y
IDCJAC0002,061055,1891,03,24.4,Y
IDCJAC0002,061055,1891,04,21.8,Y
IDCJAC0002,061055,1891,05,18.1,Y
IDCJAC0002,061055,1891,06,16.9,Y
IDCJAC0002,061055,1891,07,15.0,Y
IDCJAC0002,061055,1891,08,16.1,Y
IDCJAC0002,061055,1891,09,18.1,Y
IDCJAC0002,061055,1891,10,21.6,Y
IDCJAC0002,061055,1891,11,22.7,Y
IDCJAC0002,061055,1891,12,27.2,Y
IDCJAC0002,061055,1892,01,25.9,Y
IDCJAC0002,061055,1892,02,25.9,Y
IDCJAC0002,061055,1892,03,24.2,Y
IDCJAC0002,061055,1892,04,21.1,Y
IDCJAC0002,061055,1892,05,19.0,Y
IDCJAC0002,061055,1892,06,16.4,Y
IDCJAC0002,061055,1892,07,14.8,Y
IDCJAC0002,061055,1892,08,16.4,Y
IDCJAC0002,061055,1892,09,19.1,Y
IDCJAC0002,061055,1892,10,21.3,Y
IDCJAC0002,061055,1892,11,23.4,Y
IDCJAC0002,061055,1892,12,24.6,Y
IDCJAC0002,061055,1893,01,25.2,Y
IDCJAC0002,061055,1893,02,25.5,Y
IDCJAC0002,061055,1893,03,24.1,Y
IDCJAC0002,061055,1893,04,21.0,Y
IDCJAC0002,061055,1893,05,18.6,Y
IDCJAC0002,061055,1893,06,16.0,Y
IDCJAC0002,061055,1893,07,15.9,Y
IDCJAC0002,061055,1893,08,17.1,Y
IDCJAC0002,061055,1893,09,19.9,Y
IDCJAC0002,061055,1893,10,22.5,Y
IDCJAC0002,061055,1893,11,24.4,Y
IDCJAC0002,061055,1893,12,25.6,Y
IDCJAC0002,061055,1894,01,25.7,Y
IDCJAC0002,061055,1894,02,25.2,Y
IDCJAC0002,061055,1894,03,24.1,Y
IDCJAC0002,061055,1894,04,22.1,Y
IDCJAC0002,061055,1894,05,17.8,Y
IDCJAC0002,061055,1894,06,16.6,Y
IDCJAC0002,061055,1894,07,15.1,Y
IDCJAC0002,061055,1894,08,16.9,Y
IDCJAC0002,061055,1894,09,18.2,Y
IDCJAC0002,061055,1894,10,21.8,Y
IDCJAC0002,061055,1894,11,26.4,Y
IDCJAC0002,061055,1894,12,25.3,Y
IDCJAC0002,061055,1895,01,23.9,Y
IDCJAC0002,061055,1895,02,25.5,Y
IDCJAC0002,061055,1895,03,25.3,Y
IDCJAC0002,061055,1895,04,21.6,Y
IDCJAC0002,061055,1895,05,18.9,Y
IDCJAC0002,061055,1895,06,17.1,Y
IDCJAC0002,061055,1895,07,14.6,Y
IDCJAC0002,061055,1895,08,17.9,Y
IDCJAC0002,061055,1895,09,20.5,Y
IDCJAC0002,061055,1895,10,24.3,Y
IDCJAC0002,061055,1895,11,23.9,Y
IDCJAC0002,061055,1895,12,27.4,Y
IDCJAC0002,061055,1896,01,29.8,Y
IDCJAC0002,061055,1896,02,25.6,Y
IDCJAC0002,061055,1896,03,24.8,Y
IDCJAC0002,061055,1896,04,22.2,Y
IDCJAC0002,061055,1896,05,19.3,Y
IDCJAC0002,061055,1896,06,15.4,Y
IDCJAC0002,061055,1896,07,13.8,Y
IDCJAC0002,061055,1896,08,15.7,Y
IDCJAC0002,061055,1896,09,18.7,Y
IDCJAC0002,061055,1896,10,23.9,Y
IDCJAC0002,061055,1896,11,23.2,Y
IDCJAC0002,061055,1896,12,25.7,Y
IDCJAC0002,061055,1897,01,27.0,Y
IDCJAC0002,061055,1897,02,26.1,Y
IDCJAC0002,061055,1897,03,24.7,Y
IDCJAC0002,061055,1897,04,23.6,Y
IDCJAC0002,061055,1897,05,19.9,Y
IDCJAC0002,061055,1897,06,17.1,Y
IDCJAC0002,061055,1897,07,16.3,Y
IDCJAC0002,061055,1897,08,16.5,Y
IDCJAC0002,061055,1897,09,20.6,Y
IDCJAC0002,061055,1897,10,22.8,Y
IDCJAC0002,061055,1897,11,25.9,Y
IDCJAC0002,061055,1897,12,24.1,Y
IDCJAC0002,061055,1898,01,26.2,Y
IDCJAC0002,061055,1898,02,26.5,Y
IDCJAC0002,061055,1898,03,24.3,Y
IDCJAC0002,061055,1898,04,22.1,Y
IDCJAC0002,061055,1898,05,17.2,Y
IDCJAC0002,061055,1898,06,16.3,Y
IDCJAC0002,061055,1898,07,15.7,Y
IDCJAC0002,061055,1898,08,16.5,Y
IDCJAC0002,061055,1898,09,21.7,Y
IDCJAC0002,061055,1898,10,24.9,Y
IDCJAC0002,061055,1898,11,27.2,Y
IDCJAC0002,061055,1898,12,24.3,Y
IDCJAC0002,061055,1899,01,27.5,Y
IDCJAC0002,061055,1899,02,26.6,Y
IDCJAC0002,061055,1899,03,26.6,Y
IDCJAC0002,061055,1899,04,23.7,Y
IDCJAC0002,061055,1899,05,20.2,Y
IDCJAC0002,061055,1899,06,16.9,Y
IDCJAC0002,061055,1899,07,16.3,Y
IDCJAC0002,061055,1899,08,16.7,Y
IDCJAC0002,061055,1899,09,21.5,Y
IDCJAC0002,061055,1899,10,22.1,Y
IDCJAC0002,061055,1899,11,25.4,Y
IDCJAC0002,061055,1899,12,26.3,Y
IDCJAC0002,061055,1900,01,26.6,Y
IDCJAC0002,061055,1900,02,26.4,Y
IDCJAC0002,061055,1900,03,25.8,Y
IDCJAC0002,061055,1900,04,22.7,Y
IDCJAC0002,061055,1900,05,19.1,Y
IDCJAC0002,061055,1900,06,17.3,Y
IDCJAC0002,061055,1900,07,15.4,Y
IDCJAC0002,061055,1900,08,17.7,Y
IDCJAC0002,061055,1900,09,19.2,Y
IDCJAC0002,061055,1900,10,24.6,Y
IDCJAC0002,061055,1900,11,24.4,Y
IDCJAC0002,061055,1900,12,25.3,Y
IDCJAC0002,061055,1901,01,26.8,Y
IDCJAC0002,061055,1901,02,27.0,Y
IDCJAC0002,061055,1901,03,25.9,Y
IDCJAC0002,061055,1901,04,23.2,Y
IDCJAC0002,061055,1901,05,20.7,Y
IDCJAC0002,061055,1901,06,15.9,Y
IDCJAC0002,061055,1901,07,15.4,Y
IDCJAC0002,061055,1901,08,17.8,Y
IDCJAC0002,061055,1901,09,23.1,Y
IDCJAC0002,061055,1901,10,23.1,Y
IDCJAC0002,061055,1901,11,25.4,Y
IDCJAC0002,061055,1901,12,26.6,Y
IDCJAC0002,061055,1902,01,27.2,Y
IDCJAC0002,061055,1902,02,27.1,Y
IDCJAC0002,061055,1902,03,25.4,Y
IDCJAC0002,061055,1902,04,22.8,Y
IDCJAC0002,061055,1902,05,20.3,Y
IDCJAC0002,061055,1902,06,18.3,Y
IDCJAC0002,061055,1902,07,16.9,Y
IDCJAC0002,061055,1902,08,17.7,Y
IDCJAC0002,061055,1902,09,21.2,Y
IDCJAC0002,061055,1902,10,22.7,Y
IDCJAC0002,061055,1902,11,26.1,Y
IDCJAC0002,061055,1902,12,27.3,Y
IDCJAC0002,061055,1903,01,27.4,Y
IDCJAC0002,061055,1903,02,26.8,Y
IDCJAC0002,061055,1903,03,26.7,Y
IDCJAC0002,061055,1903,04,24.3,Y
IDCJAC0002,061055,1903,05,19.4,Y
IDCJAC0002,061055,1903,06,17.1,Y
IDCJAC0002,061055,1903,07,16.6,Y
IDCJAC0002,061055,1903,08,17.7,Y
IDCJAC0002,061055,1903,09,20.7,Y
IDCJAC0002,061055,1903,10,20.7,Y
IDCJAC0002,061055,1903,11,23.2,Y
IDCJAC0002,061055,1903,12,25.2,Y
IDCJAC0002,061055,1904,01,26.3,Y
IDCJAC0002,061055,1904,02,25.6,Y
IDCJAC0002,061055,1904,03,21.0,Y
IDCJAC0002,061055,1904,04,22.9,Y
IDCJAC0002,061055,1904,05,20.5,Y
IDCJAC0002,061055,1904,06,17.0,Y
IDCJAC0002,061055,1904,07,15.8,Y
IDCJAC0002,061055,1904,08,18.9,Y
IDCJAC0002,061055,1904,09,20.9,Y
IDCJAC0002,061055,1904,10,22.8,Y
IDCJAC0002,061055,1904,11,27.2,Y
IDCJAC0002,061055,1904,12,26.9,Y
IDCJAC0002,061055,1905,01,26.8,Y
IDCJAC0002,061055,1905,02,26.2,Y
IDCJAC0002,061055,1905,03,25.8,Y
IDCJAC0002,061055,1905,04,22.9,Y
IDCJAC0002,061055,1905,05,20.8,Y
